Domain	Source Sentence	Reference Translation	Google Translate	Yandex Translate
news	በ16ኛው የዓለም አትሌቲክስ ሻምፒዮና ለተሳተፈው የአትሌቲክስ ቡድን ሽልማት ተበረከተ	The athletic team, which was participating in the 16th World Athletics Championship, was awarded.	He was awarded the athletic team award for participating in the 16th World Athletics Championship	Involved in the road development sector of the world began the athletic awards athletic group terracotta
news	ጥቃቅንና አነስተኛ ኢንተርፕራይዝ ተመራጩ የብዙዎች አማራጭ	The Multicultural Choice of Small and Small Enterprises.	The Multicultural Choice of Small and Small Enterprises	Optional minor according to the activist, the regional state president
news	ቅርጫት ኳሳችን የተሻገረው አቀበት	The hill that our basketball crossed over.	Basketball crossed over	They will enter a blazing Pythagorus about animals
news	የመጽሐፍ ሂስ ጉባዔ እና ዓውደ-ርዕይ ይካሄዳል	Book Critics Conference and Workshop will be held	Book Critics Conference and Workshop will be held	Most of the countries the book and Lisa-the most famous topic
news	መንግሥት የአብነት ትምህርት ቤትን እንዲደግፍ ጥሪ ቀረበ	It was requested for the government to support  “Abnet” school.	The government called for a patronage school	Fast call the school suggestion endif
news	ካስትል ወይን አዲስ ምርት ለገበያ አቀረበ	Castel Wine has produced a new product to the market.	Castell Wine has marketed a new product	The new product wine in YaST to Algiers
news	ለውጥ ዋጋ ያስከፍላል፣ ፍጻሜው ግን ያስደስታል	Change will cost, but the end will be exciting.	Change will cost, but the end will be exciting	Change ASCII price, but fulfillment recommend
news	የኢትዮጵያን የአልማዝ ኢዮቤልዩ ተሳትፎ ያጀበው የተፋለሰውና ፈሩን የሳተው የሪዮ ኦሊምፒክ መጽሔት	The ambiguous Rio olympic magazine supports the ethiopian’s Diamond Jubilee participation.	The Rio Olympic Magazine, featuring the Ethiopian Diamond Jubilee,	You animation the Free State Ciobanu thepalestine mforum tablet by Olympic participation
news	የኢሠማኮ ጠቅላይ ምክር ቤት እስከ ሥራ ማቆም አድማ የሚደርስ ዕርምጃ ለመውሰድ ወሰነ	The ESMC General Assembly has decided to take action even if it leads till stopping of work.	The Esmacco General Assembly has decided to take action that will lead to a strike	To the eye of the Supreme Council to stop the conspiracy to take specific measures to
news	ጠቅላይ ሚኒስትር ኃይለ ማርያምና አፈ ጉባዔ አባዱላ ገመዳ በመከላከያ ምስክርነት እንዲቀርቡ ትዕዛዝ ተሰጠ	Prime Minister Hailemariam and Speaker Abdula Gemeda were ordered to testify in defense.	Prime Minister Hailemariam and Speaker Abdula Gemeda were ordered to testify in defense	Supreme power or China did not affect the area the year before, Mary can be given the command for witness protection
news	በዕለታዊ አጀንዳ ያልተቀረፀ ጉዳይ ስለሚታይበት	Showing which is not part of the daily agenda.	Because of the issue that is not addressed in the daily agenda	Of the altered agenda Daily Littau
news	ዮርዳኖስ ዓባይ ጫማውን ሰቀለ	yordanos abay hangs up his shoes.	Jordan Nile hangs up his shoes	The Jordan shoes was crucified the
news	የግለሰቦችን መረጃዎች በመበርበር ለአይ ኤስ አሳልፎ የሰጠው ግለሰብ ታሰረ	The person, who was going through private information of persons and sold to the IS, has been arrested.	The person who surrendered to the IS was jailed for breaking personal information	Description of an individual individuals information through sms, it shall be bound in heaven Li
news	ቢሮው በመዲናዋ ታሪካዊ ቅርስነት የተመዘገቡ ዕድሜ ጠገብ ቤቶች ደህንነት እንዳሳሰበው ገለጸ	The office says  it was concerned about the safety of older homes registered in the city's historic heritage.	The office said it was concerned about the safety of older homes registered in the city&#39;s historic heritage	Registered office houses the historical age began bending said First Security Andalou
news	በዜጐች ላይ የሚፈፀም ወንጀል በሕግ ያስቀጣል!	crime made on citizens is punishable by law!	Citizenship is punishable by law!	Astral business against criminal law!
news	ለፖለቲካዊ ችግሮች - ፖለቲካዊ ውይይት	For Political Problems - Political Discussion	For Political Problems - Political Discussion	Political issues - political discussion
news	እኔና አንተ .....በስንብት ዋዜማ	Me and you ..... on the eve of a farewell	Me and you ..... on the eve of a farewell	You Anne .....Eve Bennett
news	በአፍሪካ ቻምፒየንስ ሊግ ቅዱስ ጊዮርጊስ ከኤስፔራንስ አቻ ተለያይቷል	In the African Champions League, St. George ties point from with Esperans.	In the African Champions League, St. George is separated from the Espanyol	An equivalent short in the Champions Georges their the Caesers
news	የመፅሐፍት አየር ትንበያ	Book air forecast	Book air forecast	Weather Horoscope flashget
news	ኤል ጂ ዲስፕሌይ ከ778 ሚሊየን ዶላር በላይ ያልተጣራ ትርፍ ማግኘቱን አስታወቀ	LG display  announced that it has made more than $ 778 million in net profits.	ElG Dispatch announced that it has made over $ 778 million in net profits	G. L. and gross profit to USD 778 displayed country, he said.
news	ከፍተኛ ባለሥልጣናት አገሪቱ የምትመራበትን ሁለተኛ ዕቅድ በመንደፍ ላይ ናቸው	High officials are plotting the second plan the country is going to be led with.	Senior officials are planning a second plan for the country to lead	Second, the high officials are testemitanu beef plan
news	ስኒከር ጫማዎችን ከመግዛታቸን በፊት እነዚህን 3 ፍተሻዎች ማድረግ ይመከራል	It is advised that we do these three checks before we buy snickers.	It is advisable to do these 3 scans before buying sneakers	This may not be senior to these shoes it's advisable magtatanong 3
news	በሰውነታችን ላይ የሚታዩ ቸል ልንላቸው የማይገቡ የህመም ምልክቶች	Disease symptoms seen on our bodies that should not be ignored.	Symptoms that should not be ignored in our body	When you are in pain our body is visible for sale sign for it
news	ፌዴሬሽኑ ፕሬዚዳንትና የስራ አስፈጻሚ ኮሚቴ አባላት ምርጫ የሚሳተፉ የእጩዎች ዝርዝር ይፋ አደረገ	the federation has announced the nominated participants of the committee of the executive directors’ poll.	The federation announced a list of candidates participating in the election of President and Executive Committee members	According to the country in the management committee members in the listing aspect to he beaches
news	ሐበሻ ሲሚንቶ 49 ሚሊዮን ዶላር ያወጣባቸው ማሽኖች ይገባሉ	machines that Habesha cement paid 49 million dollars for will be coming in.	Habesha Cement will be worth $ 49 million	Nathan said that the USD 49 million cement machinery paetau
news	በመላ አፍሪካ ጨዋታ ኢትዮጵያ ሁለት የወርቅ ሜዳሊያዎችን አስመዝግባለች	In the entire Arican games, Ethiopia has gotten two medals.	In the Africa Cup of Nations, Ethiopia recorded two gold medals	Throughout Africa your golden game in two formal media
news	ከጊዜ ወደጊዜ እየሰፋ የመጣው ያለመደማመጥ ችግር አገሪቱን ለአደጋ እየዳረጋት ነው – አስተያየት ሰጪዎች	The problem of not listening to each other that has been growing with time is exposing the country to danger.— commenters.	The growing problem of deafness is putting the country at risk - commentators	As Google may provide from time to time-the problem comes from the Mesoamerica ayudarte of the in – time provider
news	ግዙፎቹ የቻይና ፊልም ስቱዲዮዎች	The large Chinese film studios.	The giant Chinese movie studios	Gestures in china shop
news	የአገርህን እወቅ ክበባት እንዲቋቋሙና እንዲጠናከሩ እየተደረገ ነው — የጎንደር ከተማ አስተዳደር	‘know your country’ clubs are being established and strengthened. – The Gondar city administration.	Know Your Country is being set up and strengthened - Gondar City Administration	He said part of the coat of anemia of the Enter country — Addis Ababa city administration
news	“የህይወት ኮስሞቲክስ” የግጥም መድብል ገበያ ላይ ዋለ	The poem compilation “ye’hiwot cosmotics” is now on the markets.	&quot;Life Cosmetics&quot; hit the market for poetry	“Life cosmetics” used in the poetry category
news	ፋየርቦል የኮምፒውተር ቫይረስ በዓለም ዙሪያ 250 ሚሊየን ኮምፒውተሮችን አጥቅቷል	The ‘fire ball’ computer virus has attacked 250 computers around the world.	Fireball has infected 250 million computers worldwide	250 computer virus in the world country, he Piersol competition authorities
news	ለሸበሌ ትራንስፖርት ኩባንያ 225 ሚሊዮን ብር የመጫረቻ ዋጋ ቀረበ	A bid of 225 birr was brought for ‘shebele transport company’.	A bid of 225 million birr was offered to the Shelley Transport Company	Unaware outsole price 225 million Transportation Company Ltd
news	አዲሱ ባለሁለት ቋንቋው መዝገበ ቃላት	The new two language dictionary.	The new bilingual dictionary	Two of the new language dictionary
news	አዲስ “ስማርት የኤሌክትሪክ ቆጣሪ” በአገር ውስጥ ማምረት ተጀመረ	New “smart electric meter” has started being manufactured domestically.	A new &quot;smart electric meter&quot; is being launched locally	New “electric start compare the” country begun in Africa.
news	“መንገደኛ” መፅሐፍን በስደት አገር እንዳነበብኩት	As I have read the book “mengedegna” in a country I immigrated to.	As I read the book &quot;Traveler&quot; in a Country of Exile	“Pilot” persecution methane andanother country
news	24 በመቶ አፍሪካውያን ብቻ ኢንተርኔትን እንደሚጠቀሙ ተገለጸ	It is announced that only 24% of Africans use the internet.	It is stated that only 24 percent of Africans use the Internet	Only 24 percent of the farmer to use the internet, you ተገለጸ
news	ከሕሙማን ምስጋና፤ ከተቋማትም ስጦታ የበዛለት ቢሾፍቱ ሆስፒታል	The hospital with many praises from patients and gifts from institutions: Bishoftu hospital.	Thanks to the patients and a generous donation from the institution	He said the people of gratitude: a gift that the hospital Bishopton Catalani
news	በከፍተኛ ሊግ የምድብ ለ ጨዋታዎች ጅማ አባ ቡና ድል ሲቀናው ደቡብ ፖሊስ ነጥብ ጣለ	In the high leagues, while Jimma Aba Buna got winning luck, Debub polis has dropped points.	South Police drop points when Jim Abba Coffee wins in the Super League for games	In Ethiopia the top games of the category B signals Jim coffee, he noted the South Point police
news	ቻይናዊው ደረጃዎችን በጭንቅላቱ በመውጣት የአለም ክብረወሰን ሰበረ	The Chinese climbed the stairs with his head and he  broke the world record.	The Chinese climbed the stairs and broke the world record	Chenoweth, who thought of the world out of this broken technology
news	በቅርቡ ከቻይና ለተገኙ ብድሮች የክፍያ ማስተማመኛ ዝግ ሒሳብ በውጭ ባንኮች ሊከፈት ነው	Soon a payment warranty closed account for depts found in china is going to be opened in foreign countries.	The closing of the Payment Guarantee Loan for loans from China will soon be opened by foreign banks	Kenya recently closed account payment of the loans of the banks mastyma lift
news	በ57 የምግብ ዓይነቶች ላይ እገዳ ተጣለ	A ban was put on 57 food types.	The ban on 57 foods was banned	57 types of food for suspension የተጣለበት
news	ዶፒንግና የስፖርተኞች የዕድሜ ጉዳይ አሳሳቢ ደረጃ ላይ ደርሷል ተባለ	It is said that doping and the age of athletes has reached a concerning level.	Doping and sportsmen&#39;s age group is said to have reached a critical stage	The sportiest of the opinion delivered in this fast age
news	ሩሲያ ቴሌግራም የተሰኘውን የማህበራዊ ትስስር መተግበሪያ ልታግድ እንደምትችል አስጠነቀቀች	Russia has warned that they might ban the telegram social medial application.	Russia warns that it could block the social networking app called Telegram	The Telegraph of Russia you can play in the social assistances Ltd
news	የአትሌቲክስ ፌዴሬሽንና የጃፓኑ ዩኒቨርሲቲ ስምምነት	The electric federation and the Japan university agreement.	The Athletics Federation and the University of Japan Agreement	It is the Utapau during the University Athletic agreement
news	ግጭት እንዲነሳ ተደራጅተው ለሚንቀሳቀሱ ኃይሎች የማይተባበር ህብረተሰብ መፍጠር ተገቢ ነው–ጠቅላይ ምንስትር ዶክተር አብይ	It is proper to create a society that will not work with forces that move in organization to raise disputes. – prime minister Abiy Ahmed	It is right to create a society that does not cooperate with the forces that are organized to cause conflict - Prime Minister Dr. Abay.	The leader of the Endesa to create the appropriate umanitar of Ethiopia–Minister of the Supreme father
news	የእንግሊዝ መንግሥት ለኢትዮጵያ የሚሰጠው ዕርዳታ ከምግብ ዋስትና ውጪ ባሉ መስኮች ላይ ይውላል አለ	The English government has stated that the help they will give to Ethiopia government will be in areas excluding food and warranty.	The UK government says its aid to Ethiopia will be spent in areas other than food security	The mother of one of the food security assistance to Ethiopia in the fields of the ALMA will be used to
news	ሞጋች ቀጥታ የውይይት መድረክ ከቀድሞው የኢዴፓ ፕሬዝዳንትና ያሁኑ የምክር ቤት አባል ከሆኑት ከአቶ ልደቱ አያሌው ጋር የተደረገ ውይይት እሁድ የካቲት 01 2007ዓ.ም፡፡	Mogach: live discussion among the former EDP president and the current council member Mr. Lidetu Ayalew. 2007, February, 01 EC.	Mogat Direct Livestreaming Conversation with Former Birthday President Ato Ayalew Ayalew	The moment the Jeep discussion forum however the previous president of the council and to the member that the discussion on Sunday, 01 February the birth of a be.What
news	ከበደች ተክለአብ አርአያ	The role model of Kebedech Tekleab.	Kebedek Tekleab exemplary	Even an atom's on toilet
news	የጎግል፣ የትዊተርና የፌስቡክ ስራ አስፈፃሚዎች በሩሲያ ጉዳይ ላይ ለአሜሪካ ምክር ቤት የምስክርነት ቃል ሊሰጡ ነው	The google, twitter, and facebook executive directors are going to testify to the American council on the issue of Russia.	Google, Twitter, and Facebook executives to testify to US Senate on Russian case	Google, Facebook, Twitter the day that the work of the Russia Council of the United States it can be given the testimony of the word
news	በራሪ ነፍሳትን የሚያክል ድሮን ተሰራ…	A drone the size of flying insects has been built.	Made a web of flying insects ...	He does add the fan: a type of...
news	በመሠረታዊ አገልግሎቶች አቅርቦት መስክ ለውጦችን ያመላከተው የስታትስቲክስ ኤጀንሲ ጥናት በርካታ ጉድለቶች እንዳሉ ጠቆመ	The statistics agency study that showed changes in provision of basic services has shown that there are many deficiencies.	The Statistical Agency study, which points to changes in the provision of basic services, pointed out that there are many flaws	The basic services supplies field changes as the study's statistics agency there are several outlets Amalekites farmer
news	ከደኢህዴን የክልሉን ሰላም በዘላቂነት የሚያረጋግጡና የህዝብ ጥያቄዎችን መፍታት የሚያስችሉ ውሳኔዎች እንጠብቃለን —ነዋሪዎች	We expect decisions that can assure the lasting peace of the region and can answer the question of the people.	We await decisions that will permanently stabilize regional peace and solve public questions — residents	Mulatu said according to the peace questions to the public that decisions will, another imigaragarire —residents
news	ሲንጋፖር በሳይበር ደህንነት የአለማችን ቀዳሚዋ ሀገር ሆናለች	Singapore has been the fore standing country in the world in terms of cyber security.	Singapore has become one of the world&#39;s leading countries in cyber security	Country Singapore security industry believe the world is our reality
news	የትኛው ነው እስር?	which one is prisoning?	Which is prison?	Of in which?
news	የፕሬስ ነፃነት ሕጉና ያልተጣጣመው አፈጻጸም	The press freedom law and unfulfilling performance.	The law of press freedom and its inconsistent implementation	Alteratiou freedom of speech around performance
news	ልጅ ሚካኤል በኮክ ስቱዲዮ	Lij Michael on Coke studio.	Son Michael at Cock Studio	Viewer book of records
news	በሰንደቅ ዓላማ ጉዳይ ላይ አገራዊ መግባባት ለመፍጠር ህዝባዊ ውይይት ሊደረግ እንደሚገባ ተገለፀ	It is announced that a public meeting should be done to create national understanding on the issue of the national flag.	It was announced that a public dialogue should be held to create national consensus on the flag issue	The purpose of the banner to create it in the discussion with the public vote and may be
news	ችግርን ተቋቁሞ ከማለፍ አንጻር ሴቶች ከወንዶች የተሻለ ጥንካሬ አላቸው - የዱኬ ዩኒቨርሲቲ ተመራማሪዎች	in terms of withstanding and going through problems, women have better strength than men. – Scientists of Duke university.	When it comes to coping, women are stronger than men - Duke University researchers	Of the men and women of Ethiopia that have that have the best strength - induce University researchers
news	ቮልቮ በኤሌክትሪክ የሚሠሩ መኪናዎችን በ2019 ለገበያ እንደሚያቀርብ አስታወቀ	Volvo has announced that they will be releasing cars that run on electric in 2015 in the markets.	Volvo announced that it will market electric cars by 2019	Tesla electric car for market to 2019 if a turned on by said.
news	በኤርትራና ጅቡቲ መካከል ያለውን አለመግባባት ለመፍታት የተጀመረው ጥረት ተስፋ ሰጪ ደረጃ ላይ ደርሷል	The effort to solve the misunderstanding between Eritrea and Djibouti has reached a hopeful level.	The effort to resolve the conflict between Eritrea and Djibouti has reached a promising stage	For አለመግባባት of the people between the provider of the effort to decrypt it begins at I hope
news	ብፁዕ ወቅዱስ አቡነ መርቆርዮስ ጎንደር ከተማ ሲገቡ አቀባበል ተደረገላቸው	Saint Abune Merkorios was welcomed when he entered Gondar.	They were greeted as they entered the city of the blessed Saint Abune Mercius Gondar	Allah in the holy city when you የተደረገላቸው Addis Mercurius
news	ፌዴሬሽኑ በይፋ ከአሠልጣኝ ገብረመድን ኃይሌ ጋር የሥራ ውል ስምምነት ተፈራረመ	The federation signed a work agreement contract with coach Gebremedhin Haile in public.	The federation has officially signed a contract with trainer Gebremint Haile	To have the power of the state in the country in the the terms awareness creation activities in the goberment
news	«ካይዘንን መተግበር በመቻሉ 16ሺ ካሬ መሬት ነፃ የመስሪያ ቦታ ተገኝቷል» - አቶ መኮንን ያሊ የኢትዮጵያ ካይዘን ኢንስቲትዩት ዋና ዳይሬክተር	“because he was able to perform kaizen, 16,000m2 land of free construction has been found.” – Mr. Mekonnen Yali director of the Ethiopian kaizen institute.	&quot;16,000 sq. Ft. Of free working space has been acquired due to the implementation of Keysen&quot;	"In a nation of freedom in the place he is found in USA government" - the director of the Nation Institute and the officer elite
news	የቦይንግ ኩባንያ በቦይንግ 737 ማክስ አውሮፕላኖች የዲዛይን ማሻሻያ እንዲያደርግ ተጠየቀ	The Boeing company has been asked to make design improvements on the Boeing 737 airplanes.	The Boeing Company has been asked to make design improvements on its Boeing 737 Max aircraft	The 737 MAX by the buying company to do so and being the victims and the Ethiopian people to do this
news	የጎንደር ከተማ ሆቴሎች ለበዓሉ ከውጭ ለሚመጡ ዲያስፖራዎች 25 በመቶ ቅናሽ አደረጉ	The hotels of Gondar have made a 25% discount for guests that are coming from abroad for the holiday.	Gondar City Hotels has dropped 25 percent for overseas diaspora guests	The city of Addis Ababa hotels in the diasporas to come for the 25 percent discount
news	ንብ ባንክን ያስፈነደቀው የ680 ሚሊዮን ብር ሕንፃ ለዋና መሥሪያቤትነት ታጭቷል	The 68 million birr building that made Nib bank ecstatic has been nominated for headquarters.	The $ 680 million Birr building, which has hit the beekeeping bank, has been closed to headquarters	Astronomers of the bank building 680 million end-users Rachel Merritt
news	ዶፒንግና የስፖርተኞች የዕድሜ ጉዳይ አሳሳቢ ደረጃ ላይ ደርሷል ተባለ	It is said that doping and the age of athletes has reached a concerning level.	Doping and sportsmen&#39;s age group is said to have reached a critical stage	The sportiest of the opinion delivered in this fast age
news	አንድ ግለሰብ በ12 ሚልዮን ብር ያስገነቡትን ጤና ጣብያ ለማህበረሰቡ አስረከቡ	An individual donated a health center that they built with 12 million birr.	An individual has donated to the community a site that raised $ 12 million	12 person Community Table by the assignor Ascon health
news	ኢትዮጵያ የ2015 የዓለም ምርጥ የቱሪስት መዳረሻ ተባለች	Ethiopia has been named the best tourist attraction of 2015 in the world.	Ethiopia has been named the 2015 World Tourist Destination	Tourist access to the best in the world in 2015
news	የፓዌ እርሻዎችን ያጥለቀለቀው ‹‹የአህያ አብሽ››	The donkeys fenugreek is the one that covers the entire pawa’s farm	The &quot;donkey ass&quot; that flooded the Paw fields	Tableselect pale areas ""easy lift up thy heart""
news	የማህፀን ፈንገስ ኢንፌክሽን (Vaginal Candidiasis)	Vaginal Candidiasis/ Womb fungus infection	Vaginal Candidiasis	Infections like this type trans (Vaginal Candidiasis)
news	ኢትዮጵያ ኢኮኖሚያዊ ማሻሻያዎችን ከጀመረች ሁለት ዓመት ሊሆናት ነው፤ ከዚህ አንጻር አሁንም በርካታ አሳሳቢ ነገሮችና የሚነሱ ጥያቄዎች አሉ። በእነዚህ ዙሪያ ከጠቅላይ ሚኒስትሩ የኢኮኖሚ አማካሪ ጋር ቆይታ አድርገናል።	It has been two years since Ethiopia started its economic reform, yet there are many critical questions and concerns being raised all the time. We had a discussion with the economic advisor of the prime minister about this issues.	Ethiopia is about to launch two years of economic reforms, and there are still many concerns and questions to be raised. We have spent some time with the Prime Minister&#39;s economic advisor on these issues.	If you started with the economic improvements in the two years in prisoner of fate that have this many questions, but unions said it. These are the supreme in the world of the The Economic to to.
news	የጥብቅ ሥፍራዎች ዓላማና ጥቅም	The purpose and benefit of protected areas	The purpose and benefit of protected areas	The purpose of the units is used
news	ቤተክርስቲያኗ የኢትዮጵያና የሩስያን ግንኙት ለማጠናከር እንደምትሰራ ገለፀች	The church stated that it will work to strengthen Ethiopian-Russian ties	She said the Church is working to strengthen the ties between Ethiopia and Russia	The church meant an attempt to strengthen the glass produces safe for market
news	በዞኖቹና በኮንታ ልዩ ወረዳ የማህበራዊ ጤና መድህን አፈጻጸም ዝቅተኛ መሆኑ ተጠቆመ	It was suggested that social health insurance performance was low in the zones and in the particular district of Konta	It was suggested that social health insurance performance was low in the zones and in the particular district of Konta	It has special social cont health, the low performance of the fledgling telecom
news	አዳዲሶቹ አማተሮች ይወለዱ ዘንድ እናምጥ!	Let's wait for the new amateurs to be born!	Let&#39;s wait for the new masters to be born!	Anti Addisons amateurs that title!
news	ቢሮው በመዲናዋ ታሪካዊ ቅርስነት የተመዘገቡ ዕድሜ ጠገብ ቤቶች ደህንነት እንዳሳሰበው ገለጸ	The office says  it was concerned about the safety of older homes registered in the city's historic heritage.	The office said it was concerned about the safety of older homes registered in the city&#39;s historic heritage	Registered office houses the historical age began bending said First Security Andalou
news	«ካይዘንን መተግበር በመቻሉ 16ሺ ካሬ መሬት ነፃ የመስሪያ ቦታ ተገኝቷል» - አቶ መኮንን ያሊ የኢትዮጵያ ካይዘን ኢንስቲትዩት ዋና ዳይሬክተር	“because he was able to perform kaizen, 16,000m2 land of free construction has been found.” – Mr. Mekonnen Yali director of the Ethiopian kaizen institute.	&quot;16,000 sq. Ft. Of free working space has been acquired due to the implementation of Keysen&quot;	"In a nation of freedom in the place he is found in USA government" - the director of the Nation Institute and the officer elite
news	ኤርፖርቶች ድርጅት ከባለድርሻ አካላት ጋር በችግሮች ላይ መከረ	The Airports Agency consulted with stakeholders on issues/problems.	The Airports Agency consulted with stakeholders on issues	The UN's Permanent Representative to the organization for the problems
news	ከጃንሜዳ እስከ ፋሲል ገንዳ	From Janmeda up to Fasil Genda	From Janmeida to the Pool Basin	Gonna fall to Catania
news	ረጅም ሰዓት ተቀምጦ መስራት ከዓይን እስከ ልብ የሚያስተለው የጤና ጉዳትና መፍትሄው…	The effect and solution to the eye and heart of working while being seated for a long	Long-term sit-down health problems and the solution ...	There is a long time in the heart of Thomastown damage to the health of the eyes...
news	በአስቸኳይ ጊዜ አዋጅ አፈጻጸም አሥር ቀናት 1,670 ተጠርጣሪዎች በቁጥጥር ሥር ውለዋል	In the 10 days of the execution of the state of emergency, 1670 suspects were put under custody.	Ten days after 1,770 suspects were detained during the emergency decree	Emergency proclamation of 1,670 root root performance are taken into custody days used
news	የአገር አቀፍ የባቡር ፕሮጀክት ምን ላይ ደረሠ?	How far has the nationwide railway project come?	What happened to the National Railway project?	What country in international project delete it?
news	“ሞት ያልገታው ጉዞ” መጽሐፍ ይመረቃል	A book by the title of "A journey that death hasn't hindered" will be launched.	The book &quot;The Walking Dead&quot; is inaugurated	“Death altar travel” book American
news	እኔና አንተ .....በስንብት ዋዜማ	Me and you ..... on the eve of a farewell	Me and you ..... on the eve of a farewell	You Anne .....Eve Bennett
news	ለአፍሪካ - ክሊንተን ወይንስ ትራምፕ ?	For Africa- Clinton or Trump?	For Africa - Clinton or Trump?	And Africa - trip or the T-TPLF ?
news	የተለያዩ የግብርና ምርት ማሻሻያ ዘዴዎችን በመተግበራቸው ውጤት እያመጡ እንደሆነ አርሶ አደሮች ገለጹ	The implementation of different agricultural product enhancing methods are showing results, farmers stated.	Farmers said they are producing results through their application of various agricultural production methods	The production of different agriculture improvements, and brought them in Addis Ababa yesterday that the result of the dam from the bamatgirei
news	«ካይዘንን መተግበር በመቻሉ 16ሺ ካሬ መሬት ነፃ የመስሪያ ቦታ ተገኝቷል» - አቶ መኮንን ያሊ የኢትዮጵያ ካይዘን ኢንስቲትዩት ዋና ዳይሬክተር	“because he was able to perform kaizen, 16,000m2 land of free construction has been found.” – Mr. Mekonnen Yali director of the Ethiopian kaizen institute.	&quot;16,000 sq. Ft. Of free working space has been acquired due to the implementation of Keysen&quot;	"In a nation of freedom in the place he is found in USA government" - the director of the Nation Institute and the officer elite
news	‹‹ፍኖተ አእምሮ›› - የራስ ካሣ ኃይሉ ፍልስፍናዊ ዕይታዎች	"Path of the mind" Ras Kasa Hailu's philosophical visions	ተ‹‹ አእምሮ አእምሮ አእምሮ አእምሮ››››››››››››››››››››››››››››››››››››››››››››››››››››››››››››››››››››››››››››››››››››››››››››››››››››››››››››››››››››››››››››››››››››››››››››››››››››››››››››››››››››››››››››››››››››››››››››››››....................................................................	""Fine brain"" - the philosophical and, if you power your sites
news	ኢትዮጵያ አዲስ ለተገኘችው ግዙፍ የህዋ አካል ስያሜ እንድታወጣ ዕድሉ ተሰጣት	Ethiopia has been given the chance to name the newly found huge space body.	Ethiopia was given the opportunity to designate its new found entity	In the enormous body of new label warned and threatened the members of the turn apply
news	አፍሪካ ለህዋ ሳይንስና ቴክኖሎጂ መሰረተ ልማት ትኩረት እንድትሰጥ ተጠየቀ	Africa was asked to give emphasis on space science and technology infrastructure	Africa was asked to pay attention to the science and technology infrastructure	The focus of the science development in the last Technology, the Institut
news	በዲላ ከተማ በተቀሰቀሰ ደም አፍሳሽ ግጭት የበርካታ ሰዎች ሕይወት አለፈ	In the bloody conflict caused in Dila city many people lost their lives.	Many lives have been lost in a bloody conflict in Dallas	Their life blood and sewage of the city also dispute the feat ከተቀሰቀሰ
news	የዕድገት ተስፋ የተሰነቀበት የኢትዮጵያና የቱርክ ትብብር	Encompassing hope for growth of  Ethio-Turkish collaboration	Ethiopia-Turkey Cooperation: Hope for Growth	The Vasari's first local investment companies to the development of thesenot hope
news	አንድ የሩሲያ ኩባንያ የመረጃ ጠለፋን የሚቆጣጠር ስማርት ስልክ ይፋ አደረገ	A Russian company introduced a smart phone that controls information piracy	A Russian company has announced a smart phone that controls the hacking	Russian telephone company Emirates One smart phone information to he
news	በጎፋ ዞን በኮሌራ አራት ሰዎች ሞቱ	Four people died due to the cholera epidemic in the Gofa zone.	Four people died in cholera in Gofa zone	Before the death, the four secular
news	የእግር ኳስ ፌዴሬሽኑ አጠያያቂ ውሳኔ	The football federation's controversial decision	A questionable decision by the Football Federation	The country in the decision areas in the feet
news	“ካልኩሌተር የጠጣን…”፣ “የአራዶች ቤት አራዶች!...”	"devouring the calculator" : "the shrewds of shrewds"	&quot;Calculator Drinks ...&quot;, &quot;Arad House Riders! ...&quot;	“Urethane calculator...”, “areas of fares!...”
news	ስለ ስኳር ህመም ቆም ብለን እንድናስብ የሚያደርጉን እውነታዎች	Facts that will make us stop and think about diabetes	Facts that make us think about diabetes	That's the truth about the pain of Bendinat stand
news	ህዝቡ ለሰራዊቱ የጀግንነቱ ኃይል ነው— ሜጀር ጀነራል ዘውዱ በላይ	The people serve as the force of bravery to the Army" Major General Zewdu Belay	The people are the heroic force of the army — Major General over the crown	The power of the soldiers, the thrill as he can be— and Saudi Major General
news	ፓናሶኒክ ጃፓንኛን ወደተለያዩ ቋንቋዎች የሚተረጉመውን ድምፅ ማጉያ አስተዋውቋል	Panasonic introduced a microphone that can translate japanese to different languages	The Panasonic introduced Japanese speakers into different languages	Nagoya Japanese Panasonic voice imitation wastewater in different languages
news	የሥነ ጽሁፍ ሂስ መድረኮች አስፈላጊነትና ተደራሽነታቸው	The importance and outreach of literature critics stages	Importance and Accessibility of Literary Critical Forums	Written by the importance of the forums isn thoracentesis
news	በውይይት ወቅት የማያግባቡ ንግግሮችን ለማስወገድ	In order to disregard misunderstanding conversations during discussion	To avoid inconsistent conversations during discussion	Negron discussion about the Bumaga
news	“መንገደኛ”ን መጽሐፍ እኔ እንዳየሁት	"Traveller" book as I saw it	As I saw the book &quot;Traveler&quot;	“Pilot”in the book I endian
news	የለውጡን ቀጣይነት ለማረጋገጥ ስርዓትና ተቋማት ለተቋቋሙለት ዓላማ መዋል አለባቸው	In order to ensure the continuity of the reform institutions must stand for the very reason they were institutionalized for.	To ensure continuity of change, systems and institutions must be used for the purpose they are established	The forum system is to ensure that the purpose of the item must be used
news	በኢትዮ-ሱዳን የድንበር ጉዳይ ታሪክ ምን ይነግረናል?	What can we learn on the history of the Ethio-Sudan border issue?	What does the story of the Ethio-Sudan border issue tell us?	For the Ethio-Sudan border issue what history tells us?
